         4203927 function calls (4203669 primitive calls) in 8.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       86    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       86    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       86    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(linspace)
       86    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(tile)
      222    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       46    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      215    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_asarray.py:141(ascontiguousarray)
        1    0.000    0.000    0.001    0.001 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:190(_get_default_tempdir)
      258    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:1251(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      215    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:1241(<genexpr>)
      176    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:134(_mean)
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\numeric.py:1786(isscalar)
       43    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
      129    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\stride_tricks.py:266(<genexpr>)
      129    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:44(_any)
       43    0.000    0.000    0.003    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:32(_amin)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 {method 'set_stream' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:97(_infer_return_type)
       89    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\miobase.py:187(get_matfile_version)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\ma\core.py:6293(isMaskedArray)
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:3037(ndim)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       44    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      352    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       10    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:50(_count_reduce_items)
       43    0.000    0.000    0.003    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\_methods.py:28(_amax)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       44    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       43    0.000    0.000    0.001    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:291(gettempdir)
        1    0.000    0.000    0.000    0.000 {built-in method nt.close}
        2    0.000    0.000    0.004    0.002 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:200(read_var_header)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:188(initialize_read)
        8    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:3231(mean)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:177(read_file_header)
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\function_base.py:21(_linspace_dispatcher)
       86    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\shape_base.py:1165(_tile_dispatcher)
        1    0.000    0.000    0.004    0.004 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:254(get_variables)
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:3033(_ndim_dispatcher)
       86    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:2232(_any_dispatcher)
       86    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\multiarray.py:635(result_type)
       11    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       99    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\stride_tricks.py:202(_broadcast_arrays_dispatcher)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\multiarray.py:145(concatenate)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\function_base.py:293(average)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001BED2BBF158}
        1    0.000    0.000    0.004    0.004 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio.py:83(loadmat)
        5    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(mean)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio.py:25(_open_file)
       43    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:237(_get_candidate_names)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\tempfile.py:163(_candidate_tempdir_list)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:359(expandvars)
        2    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\os.py:664(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\random.py:96(seed)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:309(expanduser)
        3    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\miobase.py:389(end_of_stream)
        6    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'read_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio.py:17(_open_file_context)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(average)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\miobase.py:161(read_dtype)
        6    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\os.py:734(encodekey)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\contextlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio.py:50(mat_reader_factory)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:130(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\compat\py3k.py:50(asstr)
        3    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\os.py:760(getenv)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\miobase.py:345(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\_collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\contextlib.py:85(__exit__)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:235(read_var_array)
        6    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\os.py:728(check_str)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\contextlib.py:157(helper)
        8    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\core\fromnumeric.py:3227(_mean_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\scipy\io\matlab\mio5.py:169(guess_byte_order)
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\contextlib.py:79(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\_collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 C:\Python\Miniconda3\envs\py35\lib\site-packages\numpy\lib\function_base.py:289(_average_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


